Country,Year,Net-Migration,Deaths - Conflict and terrorism,GDP per capita,Unemployment rate,Political stability index (-2.5 weak; 2.5 strong),"Life expectancy, in years",Annual average income
Australia,2014,402690,0.017425948227581804,43547.1974836868,6.08,1.03,82.3,48408.66412
Australia,2015,380358,0.01288275652784452,43923.2582693466,6.05,0.88,82.4,48012.17702
Australia,2016,371439,0,44493.4808943831,5.71,1.05,82.45,48034.72174
Australia,2017,448160,0,44648.7099113362,5.59,0.89,82.5,47621.48406
Austria,2014,154111,0,44320.5020125474,6.08,1.03,82.3,44573.73526
Austria,2015,236199,0,44304.967756787,6.05,0.88,82.4,44832.69184
Austria,2016,138793,0,44464.3502683082,5.71,1.05,82.45,45306.35805
Austria,2017,99078,0,45436.6858219914,5.59,0.89,82.5,45257.74345
Belgium,2014,82676,0.03586056417274506,41360.3955755286,5.98,0.18,72.97,46737.75158
Belgium,2015,137351,0,41708.2123401731,5.91,0.11,73.62,46386.89714
Belgium,2016,108583,0.6212364665742176,42083.6443038217,5.84,0.14,73.83,46237.02635
Belgium,2017,121729,0,42658.57617009,5.65,-0.05,74.13,46045.12875
Canada,2014,520350,0.02000048003582301,43079.1425247165,6.91,1.18,81.8,43358.5997
Canada,2015,543293,0,43149.4758370305,6.91,1.27,81.9,43591.57924
Canada,2016,592465,0.0028036948970363187,43238.2596047198,7,1.26,81.9,42536.09791
Canada,2017,572690,0,44017.5909063335,6.34,1.1,81.95,42939.91106
Chile,2014,166896,0.00573508443363293,22195.2743713617,6.66,0.45,79.5,26803.54588
Chile,2015,203661,0,22516.6078575125,6.51,0.43,79.65,26759.21876
Chile,2016,270890,0,22614.3936667162,6.74,0.41,79.78,27655.34315
Czech Republic,2014,44853,0.056866283679642235,29119.6166119074,6.11,0.99,78.82,20758.59257
Czech Republic,2015,33128,0,30605.4205211471,5.05,0.98,78.58,21326.90318
Czech Republic,2016,42682,0,31338.8752118175,3.95,0.98,79.03,22052.63849
Czech Republic,2017,57905,0,32605.9063265661,2.89,1,78.98,22965.65288
Denmark,2014,37086,0,45057.0741699595,6.59,0.95,80.7,47402.06221
Denmark,2015,54873,0.035287889694914934,45458.697148831,6.17,0.9,80.7,48235.22872
Denmark,2016,34151,0.017542326114277924,45991.2247756847,6.18,0.87,80.85,48978.78833
Denmark,2017,14664,0,46682.5147204669,5.74,0.87,81.1,48703.02811
Estonia,2014,2221,0,27113.6859213723,7.35,0.78,77.03,20088.04903
Estonia,2015,10247,0,27549.5813697378,6.19,0.62,77.59,20858.37522
Estonia,2016,9163,0,28109.81704489,6.76,0.67,77.64,21975.25322
Estonia,2017,11134,0,29481.2518067978,5.76,0.65,78.09,22577.5657
